ticket_id,title,description,expected_department,actual_department,department_correct,expected_category,actual_category,category_correct,actual_hand,actual_hand_label,expected_hand,hand_correct,confidence,classifier_source,classifier_confidence_hint,policy_trigger,routing_reason,rag_score,rag_match_id,latency_sec
TF01,Microsoft 365 password reset link expired,Cannot reset Microsoft 365 password because the self-service reset link expired after 24 hours. Need account unlocked to submit monthly expense report before finance close.,Access Management,Access Management,True,Access Management,Access Management,True,1,Self-Help,1,True,0.727,rag,high,hand1_playbook,Classifier: Access Management (rag); Supervisor policy: hand1_playbook; RAG similarity 0.71 (trusted),0.712,kb-access-001,8.15
TF02,Google Workspace account locked after failed logins,Google Workspace corporate account locked after five failed login attempts on a company Chromebook. Need Gmail and Drive access restored before a client presentation at 2 PM IST.,Access Management,Access Management,True,Access Management,Access Management,True,2,Team Assist,1,False,0.658,rag,medium,c_total_band,Classifier: Access Management (rag); Supervisor policy: c_total_band; RAG similarity 0.70 (trusted),0.697,kb-access-001,4.81
TF03,AWS Client VPN authentication failed,AWS Client VPN to the Amazon internal environment fails with authentication error 801. Need VPN access for a production deployment review with the SRE team at 4 PM IST.,Network,Network,True,Network,Network,True,2,Team Assist,1,False,0.615,rag,medium,c_total_band,Classifier: Network (rag); Supervisor policy: c_total_band; RAG similarity 0.62 (trusted),0.625,kb-net-007,5.22
TF04,Meta Workplace SSO redirect loop,Meta Workplace portal is stuck in an SSO redirect loop after a recent password change. Cannot access the internal wiki or submit a PTO request.,Access Management,Access Management,True,Access Management,Access Management,True,2,Team Assist,1,False,0.645,rag,medium,c_total_band,Classifier: Access Management (rag); Supervisor policy: c_total_band; RAG similarity 0.68 (trusted),0.675,kb-access-001,5.42
TF05,Apple Mac FileVault recovery key forgotten,Forgot the FileVault recovery key for an Apple corporate MacBook Pro. The laptop boots to the recovery screen and needs unlock before the morning standup.,Access Management,Hardware,False,Access Management,Infrastructure,False,2,Team Assist,2,True,0.42,keyword,medium,low_grounding,Classifier: Infrastructure (keyword); Supervisor policy: low_grounding; RAG similarity 0.70 (low_title_overlap),0.702,kb-access-001,15.43
TF06,Netflix internal portal password expired,Netflix internal employee portal password has expired. The self-service reset page shows a policy violation error and travel reimbursement approval is blocked.,Access Management,Access Management,True,Access Management,Access Management,True,2,Team Assist,1,False,0.42,keyword,medium,low_grounding,Classifier: Access Management (keyword); Supervisor policy: low_grounding; RAG similarity 0.70 (low_title_overlap),0.699,kb-access-001,17.47
TF07,Nvidia CUDA driver crash on training workstation,Nvidia CUDA driver crashes repeatedly on an ML training workstation during model fine-tuning. Error shown: nvlddmkm display driver stopped responding. GPU cluster job submission is blocked.,Software,Software,True,Application,Application,True,2,Team Assist,2,True,0.42,keyword,medium,low_grounding,Classifier: Application (keyword); Supervisor policy: low_grounding; RAG similarity 0.60 (low_title_overlap),0.601,kb-app-020,22.36
TF08,Intel docking station not detecting dual monitors,Intel office ThinkPad docking station fails to detect dual monitors after a Windows update. USB-C dock LED blinks amber and dual-screen setup is needed for a code review.,Hardware,Hardware,True,Infrastructure,Infrastructure,True,2,Team Assist,2,True,0.42,keyword,medium,low_grounding,Classifier: Infrastructure (keyword); Supervisor policy: low_grounding; RAG similarity 0.56 (low_title_overlap),0.558,kb-app-020,18.71
TF09,Oracle Autonomous Database connection timeout,Oracle Autonomous Database connections are timing out from the reporting service with ORA-12170 TNS connect timeout. Finance batch jobs are blocked for quarter-end close.,DBA,DBA,True,Database,Database,True,2,Team Assist,2,True,0.42,keyword,medium,low_grounding,Classifier: Database (keyword); Supervisor policy: low_grounding; RAG similarity 0.59 (low_title_overlap),0.594,kb-db-011,20.11
TF10,SAP Fiori launchpad not loading after patch,SAP Fiori launchpad fails to load after SAP GUI 8.0 patch and shows a blank white screen. Cannot access the procurement module for PO approval.,Software,Software,True,Application,Application,True,2,Team Assist,2,True,0.42,keyword,medium,low_grounding,Classifier: Application (keyword); Supervisor policy: low_grounding; RAG similarity 0.54 (below_medium),0.538,kb-access-001,21.46
TF11,Salesforce SSO login loop on production org,Salesforce production org SSO login loops indefinitely after an Okta password change. Cannot access the opportunity pipeline before the QBR at 5 PM IST.,Access Management,Access Management,True,Access Management,Access Management,True,2,Team Assist,1,False,0.639,rag,medium,c_total_band,Classifier: Access Management (rag); Supervisor policy: c_total_band; RAG similarity 0.67 (trusted),0.665,kb-access-001,6.75
TF12,Adobe Creative Cloud license activation failed,Adobe Creative Cloud license activation fails with error 205 on a design workstation. Photoshop and Illustrator show no active subscription and a design deliverable is due today.,Software,Software,True,Application,Application,True,2,Team Assist,2,True,0.36,keyword,low,low_grounding,Classifier: Application (keyword); Supervisor policy: low_grounding; RAG similarity 0.56 (low_title_overlap),0.562,kb-access-001,19.84
TF13,Cisco AnyConnect VPN error 440 driver failure,Cisco AnyConnect VPN fails with error 440 driver failure on a Windows 11 laptop. Cannot reach the corporate network or client staging environment.,Network,Network,True,Network,Network,True,2,Team Assist,1,False,0.627,rag,medium,c_total_band,Classifier: Network (rag); Supervisor policy: c_total_band; RAG similarity 0.65 (trusted),0.645,kb-net-007,4.78
TF14,VMware vSphere host unreachable in cluster,VMware vSphere ESXi host vmhost-prod-07 is unreachable in the production cluster. HA failover triggered and 12 VMs migrated. Need host health check before nightly batch window.,Hardware,Software,False,Infrastructure,Application,False,2,Team Assist,2,True,0.36,keyword,low,low_grounding,Classifier: Application (keyword); Supervisor policy: low_grounding; RAG similarity 0.53 (below_medium),0.529,kb-access-001,18.78
TF15,IBM Lotus Notes mailbox access denied after migration,Cannot access migrated IBM Lotus Notes mailbox after Domino-to-Exchange cutover. Self-service migration portal shows mailbox not found and compliance audit email is needed.,Access Management,Access Management,True,Access Management,Access Management,True,2,Team Assist,2,True,0.42,keyword,medium,low_grounding,Classifier: Access Management (keyword); Supervisor policy: low_grounding; RAG similarity 0.60 (low_title_overlap),0.602,kb-access-001,21.17
TF16,TCS Citrix Workspace session disconnects every 10 minutes,TCS client Citrix Workspace session disconnects every 10 minutes with error WFICA32. UAT testing on a banking client project is blocked before Friday go-live.,Software,Software,True,Application,Application,True,2,Team Assist,2,True,0.36,keyword,low,low_grounding,Classifier: Application (keyword); Supervisor policy: low_grounding; RAG: no_match,,,25.9
TF17,Infosys office printer paper jam error 13.02,Infosys Bangalore campus HP LaserJet shows paper jam error 13.02. Jam was cleared twice but error persists. Need to print a signed NDA for client onboarding at 11 AM.,Hardware,Hardware,True,Infrastructure,Infrastructure,True,2,Team Assist,1,False,0.729,rag,high,c_total_band,Classifier: Infrastructure (rag); Supervisor policy: c_total_band; RAG similarity 0.71 (trusted),0.715,kb-hw-014,4.83
TF18,Wipro Microsoft Teams messages not syncing,Microsoft Teams on a Wipro laptop is not syncing messages or calendar events since yesterday. Banner shows trouble connecting and standup invites are missing.,Software,Software,True,Application,Application,True,2,Team Assist,1,False,0.42,keyword,medium,low_grounding,Classifier: Application (keyword); Supervisor policy: low_grounding; RAG: no_match,,,21.8
TF19,HCL SQL Server nightly backup job failed,HCL managed SQL Server nightly backup job failed with error 3201 cannot open backup device. Transaction log is full on prod-db-03 and finance ETL is blocked.,DBA,DBA,True,Database,Database,True,2,Team Assist,2,True,0.42,keyword,medium,low_grounding,Classifier: Database (keyword); Supervisor policy: low_grounding; RAG similarity 0.61 (low_title_overlap),0.613,kb-db-011,24.92
TF20,Cognizant FortiClient VPN certificate expired,Cognizant FortiClient VPN rejects connection because the server certificate expired yesterday. Cannot access client dev environment for sprint demo at 3 PM IST.,Network,Network,True,Network,Network,True,2,Team Assist,2,True,0.628,rag,medium,c_total_band,Classifier: Network (rag); Supervisor policy: c_total_band; RAG similarity 0.65 (trusted),0.646,kb-net-007,4.85
TF21,Capgemini MyWizard portal invalid credentials,Cannot login to Capgemini MyWizard employee portal after password reset. Portal shows invalid credentials and weekly timesheet submission is due before Friday cutoff.,Access Management,Access Management,True,Access Management,Access Management,True,2,Team Assist,1,False,0.651,rag,medium,c_total_band,Classifier: Access Management (rag); Supervisor policy: c_total_band; RAG similarity 0.69 (trusted),0.685,kb-access-001,4.84
TF22,Accenture client RDP access request pending three days,Need RDP access to an Accenture client UAT Windows server for regression testing. Access request has been pending approval for three days and go-live is blocked.,Access Management,Access Management,True,Access Management,Access Management,True,2,Team Assist,2,True,0.42,keyword,medium,low_grounding,Classifier: Access Management (keyword); Supervisor policy: low_grounding; RAG similarity 0.60 (low_title_overlap),0.605,kb-access-001,15.16
TF23,Deloitte SharePoint document library access denied,Deloitte audit engagement SharePoint document library returns access denied for the compliance folder. Need read access to submit working papers before partner review.,Access Management,Software,False,Access Management,Application,False,2,Team Assist,2,True,0.42,keyword,medium,low_grounding,Classifier: Application (keyword); Supervisor policy: low_grounding; RAG similarity 0.59 (low_title_overlap),0.593,kb-access-001,16.34
TF24,JPMorgan Markets trading platform account locked,JPMorgan Markets trading platform account locked after five failed password attempts. Need access restored before US market open at 7 PM IST.,Access Management,Access Management,True,Access Management,Access Management,True,2,Team Assist,2,True,0.65,rag,medium,c_total_band,Classifier: Access Management (rag); Supervisor policy: c_total_band; RAG similarity 0.68 (trusted),0.684,kb-access-001,6.82
TF25,Goldman Sachs SQL Server deadlock on risk database,Goldman Sachs SQL Server risk reporting database shows persistent deadlocks on VaR calculation stored procedures. Risk reports are delayed for the global risk committee.,DBA,DBA,True,Database,Database,True,2,Team Assist,2,True,0.735,rag,high,c_total_band,Classifier: Database (rag); Supervisor policy: c_total_band; RAG similarity 0.72 (trusted),0.725,kb-db-011,4.45
TF26,HSBCnet corporate banking portal login locked,Cannot login to HSBCnet corporate banking portal because the account locked after three failed attempts. Need urgent access to approve supplier payments before 4 PM IST cutoff.,Access Management,Access Management,True,Access Management,Access Management,True,2,Team Assist,2,True,0.653,rag,medium,c_total_band,Classifier: Access Management (rag); Supervisor policy: c_total_band; RAG similarity 0.69 (trusted),0.688,kb-access-001,5.04
TF27,Stripe AWS secret key pushed to public GitHub,Stripe production AWS secret access key was accidentally committed to a public GitHub repository in a CI pipeline log. Key is visible in commit history and needs immediate rotation and git purge.,SecOps,SecOps,True,Security,Security,True,3,Specialist,3,True,0.27,keyword,high,security_policy,Classifier: Security (keyword); Supervisor policy: security_policy; RAG similarity 0.56 (low_title_overlap),0.564,kb-access-001,5.15
TF28,Uber suspicious RDP login from foreign IP,SIEM alert shows successful RDP login to an Uber finance server from an unknown foreign IP at 2 AM IST. Account finance-batch-svc had no scheduled job at that time.,SecOps,SecOps,True,Security,Security,True,3,Specialist,3,True,0.27,keyword,high,security_policy,Classifier: Security (keyword); Supervisor policy: security_policy; RAG similarity 0.58 (low_title_overlap),0.584,kb-access-001,4.67
TF29,Tesla ransomware note found on shared file server,Ransomware note DECRYPT_INSTRUCTIONS.txt found on a Tesla engineering shared file server. Multiple project folders are encrypted with .locked extension and production CAD files are affected.,SecOps,SecOps,True,Security,Security,True,3,Specialist,3,True,0.27,keyword,high,security_policy,Classifier: Security (keyword); Supervisor policy: security_policy; RAG similarity 0.59 (low_title_overlap),0.595,kb-storage-009,6.3
TF30,Airbnb phishing email impersonating IT password reset,Airbnb employee received a phishing email impersonating IT password reset with a malicious link. Three colleagues clicked the link and DLP flagged credential entry on a fake Okta page.,SecOps,SecOps,True,Security,Security,True,3,Specialist,3,True,0.21,rag,medium,security_policy,Classifier: Security (rag); Supervisor policy: security_policy; RAG similarity 0.61 (trusted),0.606,kb-access-001,5.82
